"marca_vehiculo","modelo_vehiculo","tipo_vehiculo","edad_vehiculo","fecha_accidente","gravedad_accidente","departamento_accidente","municipio_accidente","autoridad_de_transito"
"KIA","2008","CAMPERO","18","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"BMW","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2019","MOTOCICLETA","8","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KYMCO","2017","MOTOCICLETA","9","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KAWASAKI","1991","MOTOCICLETA","33","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2022","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2018","MOTOCICLETA","8","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HERO","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2019","MOTOCICLETA","8","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KYMCO","2017","MOTOCICLETA","9","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KYMCO","2017","MOTOCICLETA","10","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"RENAULT","2003","AUTOMOVIL","23","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"ZAGA","2017","MOTOCICLETA","10","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"MERCEDES-BENZ","2007","BUS","17","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"YAMAHA","2014","MOTOCICLETA","12","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"RENAULT","2017","AUTOMOVIL","10","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"RENAULT","2023","CAMIONETA","4","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"YAMAHA","2023","MOTOCICLETA","4","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
