cod_departamento,departamento,cod_municipio,municipio,ano,bajo_peso_nacer,controles_prenatales,fecundidad_adolescente,mortalidad_fetal,mortalidad_general,mortalidad_infantil,mortalidad_materna,mortalidad_neonatal,partos_cesarea,partos_institucionales
27,chocó,27001,Quibdó,2005,9.136714814,3.447766097,99.31458945,23.73316228,6.022549132,41.39290407,197.109067,26.60972405,18.99109792,98.03921569
52,Nariño,52356,Ipiales,2018.0,9.528519618,7.937171053,,121.8948585,5.279944975,5.921052632,32.89473684,,34.04605263,99.53333333
76,Valle del Cauca,76109,Buenaventura,2012.0,8.290598291,4.760013636,78.53965332,10.95751854,2.556317206,12.61291972,,10.0562468,,95.84124245
44,La Guajira,44650,San Juan Del Cesar,2015.0,10.40569836,6.033446888,454.2546385,14.04580153,11.9752458,10.21988232,92.90802106,4.645401053,73.49024466,99.77827051
54,Norte de Santander,54001,Cúcuta,2008,7.252559727,5.777973052,111.9623471,13.86481802,7.456837304,20.76417366,32.54572675,13.0182907,57.82920469,99.03986227
68,santander,68001,Bucaramanga,2020.0,,6.204052891,75.0101365,60.22058824,9.289989925,8.293560754,62.59291135,6.259291135,49.94914326,99.81579369
47,Magdalena,"47,001",Santa Marta,2012,10.47160004,5.798790284,101.6280441,32.37311385,5.808616584,18.8072961,75.60722049,11.057556,,99.8841587
15,Boyacá,15001,Tunja,2017,15.90828924,7.125749559,107.7971403,32.25806452,9.195143655,9.700176367,70.54673721,7.054673721,,99.83603571
54,Norte de Santander,54001,Cúcuta,2006,6.295664049,4.824146982,109.5625108,15.37666365,7.179596002,15.6824147,,,50.17223105,96.24356661
50,Meta,50001,Villavicencio,2010.0,7.750249569,5.387210564,116.5260264,136.6546931,6.351950427,15.46671491,36.17945007,9.497105644,34.40159334,99.32319674
52,,52356,Ipiales,2012,6.935428767,5.861633071,118.7806587,31.75653325,4.506733044,4.783054322,,2.733173898,30.23573625,99.17184265
8,Atlántico,8638,Sabanalarga,2010,9.005524862,6.097790055,110.6737671,2.754820937,2.636726137,11.60220994,55.24861878,6.629834254,54.93348115,99.93887531
52, NARIÑO ,52356,Ipiales,2010.0,8.046817849,5.641550841,109.4917788,30.4964539,3.502484981,6.583760059,,4.023408925,39.76565361,99.59289415
76,Valle del Cauca,76109,Buenaventura,2006,6.231823847,4.762607626,69.56907057,13.34951456,4.100742365,,,8.200082001,23.67279488,95.05505921
